Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Assessing the Impact of Variant Calling Pipelines on De Novo SBS Mutational Signature Extraction,"Jiang, ZC; Au, JN; Kazachkova, M; Díaz-Gay, M; Vangara, R; Alexandrov, LB",,2026,,CANCER RESEARCH,86,7,,WOS:001734169500015,10.1158/1538-7445.AM2026-6872,,#2312,Jiang 2026,"",""
Regulators of homologous recombination deficiency identified by machine learning using somatic multi-omics data,"Valieris, R; Rosa, L; Martins, L; Defelicibus, A; Carraro, DM; Nunes, DN; Dias-Neto, E; Rosales, R; da Silva, IT","Homologous recombination deficiency (HRD) is a critical biomarker for guiding targeted therapies, yet the full range of somatic alterations driving HRD across cancers remains incompletely characterized. Here, we present a tumor-agnostic machine learning framework that integrates somatic multi-omics data, including copy-number variations, single-nucleotide variants, DNA methylation, and gene expression from over 8,000 patients in The Cancer Genome Atlas. Using a genome-wide mutational signature-based HRD score as ground truth, our model achieved high predictive performance and leveraged SHAP-based explainability to uncover HRD regulators beyond BRCA1/2. Cross-tumor analysis revealed both shared and cancer type-specific molecular determinants, whereas functional enrichment highlighted key molecular and cellular processes. These findings expand the known repertoire of HRD-associated alterations, provide a resource for mechanistic investigation, and demonstrate the potential of integrative AI approaches to improve patient stratification for HR-targeted therapies across diverse malignancies.",2025,,LIFE SCIENCE ALLIANCE,9,2,,WOS:001617734400001,10.26508/lsa.202503531,,#2334,Valieris 2025,"",""
A Unifying Framework and Comparison of Algorithms for Non-negative Matrix Factorisation,"Hobolth, A; Guo, QY; Kousholt, A; Jensen, JL","Non-negative matrix factorisation (NMF) is an increasingly popular unsupervised learning method. However, parameter estimation in the NMF model is a difficult high-dimensional optimisation problem. We consider algorithms of the alternating least squares type. Solutions to the least squares problem fall in two categories. The first category is iterative algorithms, which include algorithms such as the majorise-minimise (MM) algorithm, coordinate descent, gradient descent and the Fevotte-Cemgil expectation-maximisation (FC-EM) algorithm. We introduce a new family of iterative updates based on a generalisation of the FC-EM algorithm. The coordinate descent, gradient descent and FC-EM algorithms are special cases of this new EM family of iterative procedures. Curiously, we show that the MM algorithm is never a member of our general EM algorithm. The second category is based on cone projection. We describe and prove a cone projection algorithm tailored to the non-negative least square problem. We compare the algorithms on a test case and on the problem of identifying mutational signatures in human cancer. We generally find that cone projection is an attractive choice. Furthermore, in the cancer application, we find that a mix-and-match strategy performs better than running each algorithm in isolation.",2020,,INTERNATIONAL STATISTICAL REVIEW,88,1,29-53,WOS:000524990600002,10.1111/insr.12331,,#2366,Hobolth 2020,"",""
Cancer and Tissue Prediction Using Mutational Signatures in Highly Mutated Cancers,"Cordes, J; Davila, J","Around three to five percent of all cancers have unknown primary origin and identifying their tissue type is crucial for clinical purposes, especially for highly mutated cancers which can benefit from immunotherapy.A mutational signature describes a distinct pattern of mutations caused by a specific mutagenic process and is usually associated with a specific tissue type. For example, tobacco exposure causes a high number of C to A mutations which are frequent in lung cancer, while UV light induces a high amount of CC to TT mutations, which occur in melanomas. The previous observation motivates the goal for our study, which is to use mutational signatures contributions to predict the cancer and tissue type of highly mutated tumor samples.We use the Mutational Signatures v.3.3 cohort from the Catalogue of Somatic Mutations in Cancer (COSMIC) and consider only nine highly mutated cancer types resulting in a set of 1,477 samples. We remove artifactual signatures and consider frequently occurring signatures, resulting in a core set of twenty signatures which we used as features for our models.We tested regression and tree-based models to predict cancer and tissue type. Random forests produced superior results predicting cancer type with an accuracy, specificity and sensitivity of 83.4%, 97.9%, and 76.4%, and predicting tissue type with an accuracy, specificity and sensitivity of 89.5%, 98.0%, and 84.8%. Our approach is limited in cancers that share similar mutational signatures, e.g. our lowest accuracy (76.7%) occurs in defective mismatch repair cases from endometrial, stomach, and colorectal cancers.",2025,,"COMPUTATIONAL ADVANCES IN BIO AND MEDICAL SCIENCES, ICCABS 2023",14548,,65-74,WOS:001549151200006,10.1007/978-3-031-82768-6_6,,#2647,Cordes 2025,"",""
"A practical framework and online tool for mutational signature analyses show intertissue variation and driver dependencies (vol 1, pg 249, 2020)","Degasperi, A; Amarante, TD; Czarnecki, J; Shooter, S; Zou, XQ; Glodzik, D; Morganella, S; Nanda, AS; Badja, C; Koh, G; Momen, SE; Georgakopoulos-Soares, I; Dias, JML; Young, J; Memari, Y; Davies, H; Nik-Zainal, S",An amendment to this paper has been published and can be accessed via a link at the top of the paper.,2020,,NATURE CANCER,1,7,748-748,WOS:000614876100010,10.1038/s43018-020-0093-8,,#2744,Degasperi 2020,"",""
Non-Invasive Detection of Breast Cancer by Low-Coverage Whole-Genome Sequencing from Plasma,"Peng, L; Yao, R; Gao, SH; Qu, Y; Qu, L; Zhang, JB; Zhou, YD","Background: Breast cancer is the most common cancer in women worldwide. Here we aimed to develop an effective non-invasive method to screen for breast cancer and reduce mortality while still being curable. Methods: Here we propose a method that leverages the available data by incorporating information on copy number variations, mutation signature, and fragment size. Our approach adopted principal component analysis and a generalized linear model algorithm to distinguish between breast cancer and normal samples. Results: A total of 100 samples (85 tumor, 15 controls) were used for training, and 44 samples (37 tumor, 7 controls) were used to validate the proposed method based on whether the sample originated from breast cancer. Our model reached an area under the receiver operating characteristic curve reached 1.0 and 0.690 in the training set and in the validation set, respectively. Conclusions: Our method can differentiate between breast cancer patients and controls using non-invasive, cost-effective, low-coverage whole-genome sequencing technology that may provide new ideas for future breast cancer screenings.",2023,,CLINICAL AND EXPERIMENTAL OBSTETRICS & GYNECOLOGY,50,7,,WOS:001044957800001,10.31083/j.ceog5007152,,#2746,Peng 2023,"",""
Statistical Challenges in Mutational Signature Analyses of Cancer Sequencing Data,"Velasco-Pardo, V; Papathomas, M; Lynch, AG","Cancer is a disease driven and characterised by mutations in the DNA. Different categorisations of DNA mutations have allowed the identification of patterns that can act as signatures for the processes that have governed the life of the cancer. Over the last decade, research groups have identified more than 100 such signatures. Mutational signature analyses are improving our understanding of cancer aetiology and have the potential to play a role in diagnosis, prognosis, and treatment choice. Consisting of the estimation of probability mass functions or weights determining non-negative weighted combinations, they are perhaps unique among comparable analyses in themedical literature, in that no confidence intervals or other representations of uncertainty are demanded when reporting the results. Here, we review the key statistical challenges for the field, assess the potential of existing approaches to adapt to those challenges, and comment on what we think are promising directions. As we deal with data that are noisy and heterogeneous, we evaluate howto present them so that models use all the information available. Often posed as a matrix factorisation problem, we argue that a fully probabilistic approach is required to quantify uncertainty around model parameters and to underpin principled study design. Lastly, we argue that novel methodology is required to evaluate uncertainties in analyses where prior information is available.",2022,,"RECENT DEVELOPMENTS IN STATISTICS AND DATA SCIENCE, SPE2021",398,,241-258,WOS:000927858900017,10.1007/978-3-031-12766-3_17,,#3069,Velasco-Pardo 2022,"",""
"12th International Conference on Computational Advances in Bio and Medical Sciences, ICCABS 2023","",The proceedings contain 23 papers. The special focus in this conference is on Computational Advances in Bio and Medical Sciences. The topics include: PartialFibers: An Efficient Method for Predicting Drug-Drug Interactions; optimizing Deep Learning for Biomedical Imaging; exploring a Solution Curve in the Phase Plane for Extreme Firing Rates in the Izhikevich Model; cancer and Tissue Prediction Using Mutational Signatures in Highly Mutated Cancers; on the Hardness of Wildcard Pattern Matching on de Bruijn Graphs; plastic: An Easy to Use and Modular Tool for Benchmarking Tumor Phylogeny Reconstruction Pipelines; A 3D Deep Learning Architecture for Denoising Low-Dose CT Scans; a Simple and Interpretable Deep Learning Model for Diagnosing Pneumonia from Chest X-Ray Images; FedDP: Secure Federated Learning with Differential Privacy for Disease Prediction; computational Tumor Progression Analysis via Seriation Based Trajectory Inference; multilayer Network Analysis of Brain Signals for Detecting Alzheimer’s Disease; DNA Methylation Based Subtype Classification of Breast Cancer; repeated Measures Latent Dirichlet Allocation for Longitudinal Microbiome Analysis; improving Disease Comorbidity Prediction with Biologically Supervised Graph Embedding; Lightweight and Generalizable Model for COVID-19 Detection Using Chest Xray Images; decoding Heterogeneity in Quadruple-Negative Breast Cancer: A Data-driven Clustering Approach; determining Temporal Linkages in Dynamic Epidemiological Networks Using the Earth Mover’s Distance; functional Connectivity Disruptions in Alzheimer’s Disease: A Maximum Flow Perspective; on Multi-phase Metagenomics Reads Binning; a Unified Machine Learning Framework for Multi-subtype Tumour Classification Across Diverse Datasets; AFA: Abstract Functional Analysis Identifies New Microglial Subtypes at Single Cell Level in Alzheimer’s Disease.,2025,,Lect. Notes Comput. Sci.,14548 LNBI,,,,,,#3163,,"",""
Cancer and Tissue Prediction Using Mutational Signatures in Highly Mutated Cancers,"Cordes, J.; Davila, J.","Around three to five percent of all cancers have unknown primary origin and identifying their tissue type is crucial for clinical purposes, especially for highly mutated cancers which can benefit from immunotherapy. A mutational signature describes a distinct pattern of mutations caused by a specific mutagenic process and is usually associated with a specific tissue type. For example, tobacco exposure causes a high number of C to A mutations which are frequent in lung cancer, while UV light induces a high amount of CC to TT mutations, which occur in melanomas. The previous observation motivates the goal for our study, which is to use mutational signatures contributions to predict the cancer and tissue type of highly mutated tumor samples. We use the Mutational Signatures v.3.3 cohort from the Catalogue of Somatic Mutations in Cancer (COSMIC) and consider only nine highly mutated cancer types resulting in a set of 1,477 samples. We remove artifactual signatures and consider frequently occurring signatures, resulting in a core set of twenty signatures which we used as features for our models. We tested regression and tree-based models to predict cancer and tissue type. Random forests produced superior results predicting cancer type with an accuracy, specificity and sensitivity of 83.4%, 97.9%, and 76.4%, and predicting tissue type with an accuracy, specificity and sensitivity of 89.5%, 98.0%, and 84.8%. Our approach is limited in cancers that share similar mutational signatures, e.g. our lowest accuracy (76.7%) occurs in defective mismatch repair cases from endometrial, stomach, and colorectal cancers. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",2025,,Lect. Notes Comput. Sci.,14548 LNBI,,65-74,,10.1007/978-3-031-82768-6_6,,#3226,Cordes 2025,"",""
Enhancing the Prognostic Precision of Unsupervised Lung Cancer Subtyping Using a Network-Assisted Data Mining of Early Mutated Driver Genes,"Pakchuen, S.; Laomettachit, T.","Lung cancer is often asymptomatic and typically diagnosed at an advanced stage, leading to limited progress in improving survival rates. While it is evident that a better prognosis often results from early detection, such molecular markers holding different prognostic values are not fully characterized. Here, we proposed a set of 47 early mutated driver genes (EMDGs), which are somatically mutated cancer driver genes likely to have arisen early, to serve as early prognostic biomarkers for identifying a clinical subtype of lung adenocarcinoma (LUAD). By leveraging an existing framework of network-based patient stratification, clustering performance based on 47 EMDGs outperforms those relying on benchmark cancer gene panels, yielding three prognosis-related LUAD subtypes. Approximately mutated at the same time window (early event), EMDGs likely interact epistatically, in turn, accounting for diverse tumor growth patterns. We thus performed an association rule mining coupled with network analysis to capture the co-occurring (CO) pattern of a significant gene pair likely co-mutated, resulting in an early epistatic gene set (EEGS = [KRAS, RYR2, TP53, KEAP1, STK11, EGFR]). Distinct epistatic patterns among different subgroups were correlated with survival outcomes. For example, patients carrying STK11/KEAP1 co-mutation were enriched in subgroup 3 (worst survival). For practical purposes, we developed a supervised model trained based on unsupervised mutational profiles (transformed heat diffusion scores). Our model exhibited a high predictive capability of survival prognosis (average accuracy $90.55 \% \pm 3.21$), thus eliminating the need for reclustering whenever new patients of unknown subgroups emerge. We anticipate that a future screening assay such as cell-free tumor DNA will benefit from our discovery towards early lung cancer detection, consequently improving overall survival.  © 2025 IEEE.",2025,,"Int. Conf. Bioinform. Comput. Biol., ICBCB",,,111-118,,10.1109/ICBCB64873.2025.11198026,,#3240,Pakchuen 2025,"",""
The Germline and Somatic Origins of Prostate Cancer Heterogeneity,"Yamaguchi, T.N.; Houlahan, K.E.; Zhu, H.; Kurganovs, N.; Livingstone, J.; Fox, N.S.; Yuan, J.; Penington, J.S.; Jung, C.-H.; Schwarz, T.; Jaratlerdsiri, W.; van Riet, J.; Georgeson, P.; Mangiola, S.; Taraszka, K.; Lesurf, R.; Jiang, J.; Chow, K.; Heisler, L.E.; Shiah, Y.-J.; Ramanand, S.G.; Clarkson, M.J.; Nguyen, A.; Espiritu, S.M.G.; Stuchbery, R.; Jovelin, R.; Huang, V.; Bell, C.; O’connor, E.; McCoy, P.J.; Lalansingh, C.M.; Cmero, M.; Salcedo, A.; Chan, E.K.F.; Liu, L.Y.; Stricker, P.D.; Bhandari, V.; Bornman, R.M.S.; Sendorek, D.H.S.; Lonie, A.; Prokopec, S.D.; Fraser, M.; Peters, J.S.; Foucal, A.; Mutambirwa, S.B.A.; McIntosh, L.; Orain, M.; Wakefield, M.; Picard, V.; Park, D.J.; Hovington, H.; Kerger, M.; Bergeron, A.; Sabelnykova, V.; Seo, J.-H.; Pomerantz, M.M.; Zaitlen, N.; Waszak, S.M.; Gusev, A.; Lacombe, L.; Fradet, Y.; Ryan, A.; Kishan, A.U.; Lolkema, M.P.; Weischenfeldt, J.; Têtu, B.; Costello, A.J.; Hayes, V.M.; Hung, R.J.; He, H.H.; McPherson, J.D.; Pasaniuc, B.; van der Kwast, T.; Papenfuss, A.T.; Freedman, M.L.; Pope, B.J.; Bristow, R.G.; Mani, R.S.; Corcoran, N.M.; Reimand, J.; Hovens, C.M.; Boutros, P.C.","Newly diagnosed prostate cancers differ dramatically in mutational composition and lethality. The most accurate clinical predictor of lethality is tumor tissue architecture, quantified as tumor grade. To interrogate the evolutionary origins of prostate cancer heterogeneity, we analyzed 666 prostate tumor whole genomes. We identified a compendium of 223 recurrently mutated driver regions, most influencing downstream mutational processes and gene expression. We identified and validated individual germline variants that predispose tumors to acquire specific somatic driver mutations: these explain heterogeneity in disease presentation and ancestry differences. High-grade tumors have a superset of the drivers in lower-grade tumors, including increased frequency of BRCA2 and MYC mutations. Grade-associated driver mutations occur early in tumor evolution, and their earlier occurrence strongly predicts cancer relapse and metastasis. Our data suggest high-and low-grade prostate tumors both emerge from a common premalignant field, influenced by germline genomic context and stochastic mutation timing. Significance: This study uncovered 223 recurrently mutated driver regions using the largest cohort of prostate tumors to date. It reveals associations between germline SNPs, somatic drivers, and tumor aggression, offering significant insights into how prostate tumor evolution is shaped by germline factors and the timing of somatic mutations. © 2025 The Authors.",2025,,Cancer Discov.,15,5,988-1017,,10.1158/2159-8290.CD-23-0882,,#3249,Yamaguchi 2025,"",""
A Partition Function Algorithm to Evaluate Inferred Subclonal Structures in Single-Cell Sequencing Data,"Mehrabadi, F.R.; Azer, E.S.; Bridgers, J.D.; Pérez-Guijarro, E.; Marie, K.L.; Yang, H.H.; Gruen, C.; Wu, C.H.; Robinson, W.; Liu, H.; Kizilkale, C.; Kelly, M.C.; Smith, C.; Chin, S.; Ebersole, J.; Burkett, S.; Buluc, A.; Lee, M.P.; Molloy, E.K.; Przytycka, T.M.; Merlino, G.; Day, C.-P.; Malikić, S.; Ergun, F.; Sahinalp, S.C.","Clonal evolution of cancer results in intratumor heterogeneity (ITH), making treatment and cure challenging. Single-cell sequencing has advanced our understanding of ITH, but tracing subclonal evolution using mutational profiles of cells is limited by scale and noise. Moreover, available tumor progression tree inference methods usually offer a single tree to explain the progression of a tumor, and do not inform about alternative evolutionary scenarios. In this paper we introduce the partition function for a tumor progression tree, to assess the reliability of any proposed subclonal structure in a single-cell sequenced tumor. Given that tumor progression can be represented as a perfect phylogeny, the partition function for a given set of cells, R, and a given mutation, ρ, is defined as the likelihood that ρ is present exclusively in R. As such, the partition function evaluates whether R forms a subclone with ρ as a possible subclonal driver, which is especially useful if the cells of R are biologically or clinically significant, e.g., have aggressive growth, therapy resistance, or metastatic potential. We also present an algorithm to estimate the partition function and provide theoretical proofs that our algorithm asymptotically approaches the ground truth. In addition, we present empirical evidence of its accuracy on simulated data, as well as its practical value in analyzing the progression history of real tumors. The implementation is available at: https://github.com/algo-cancer/Partition-Function/. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",2025,,Lect. Notes Comput. Sci.,15647 LNBI,,409-413,,10.1007/978-3-031-90252-9_50,,#3293,Mehrabadi 2025,"",""
Mutational signature analysis of chronic lymphocytic leukemia uncovering genomic patterns and prognostic implications,"AlJabban, A.; Azevedo, R.S.; Antel, K.; Arnette, A.; Cohen, E.F.; Meredith, D.M.; Murakami, M.A.; Sholl, L.M.; Tolstorukov, M.Y.; Tsai, H.K.; Tsai, J.M.; Zemmour, D.; Lindeman, N.I.; Garcia, E.; Brown, J.R.; Kim, A.S.","Objective: To identify the mutational signature(s) for patients with diagnosed chronic lymphocytic leukemia (CLL) and their correlation with clinical and genetic classifications. Methods: All CLL samples sequenced on several versions of OncoPanel, from 2013 to 2022, were examined (n = 209). All variants produced by the next-generation sequencing pipeline, before review, were obtained for these samples. After the exclusion of likely germline polymorphisms, mutational signatures were generated. De novo mutational signatures were extracted and correlated with clinical and genetic data. Results: Most somatic mutations were found in chromosome 14 (within ADAM6). Somatic mutation signatures analysis revealed a prominent endogenous mutational process, which predominantly led to C-to-T single base substitutions (SBSs). Two novel de novo SBS signatures were identified, weighted by the SBS84 signature, that correlated with somatically hypermutated and unmutated status, respectively, with significant disease heterogeneity. A notable 13.3% of the cohort exhibited the SBS42 signature, suggesting a link to occupational haloalkane exposure, representing a potential new environmental risk factor for CLL. Conclusions: The de novo SBS signatures were identified as being associated with IGHV status, highlighting significant disease heterogeneity that belies the more categorical and limited traditional risk stratification methods. Also, a novel association was made between haloalkane exposure signature and CLL. © The Author(s) 2025. Published by Oxford University Press on behalf of American Society for Clinical Pathology. All rights reserved.",2025,,Am. J. Clin. Pathol.,164,4,530-544,,10.1093/ajcp/aqaf059,,#3333,AlJabban 2025,"",""
"Integrating Formalin-Fixed, Paraffin-Embedded–Derived Whole-Genome Sequencing into Routine Molecular Pathology: Validation and First Experiences in Metastatic Melanoma","Litchfield, C.; Nienhold, R.; Wicki, A.; Schmid, M.; Aguilera-Garcia, D.; Koelzer, V.H.; Aebersold, R.; Ak, M.; Al-Quaddoomi, F.S.; Albert, S.I.; Albinus, J.; Alborelli, I.; Andani, S.; Attinger, P.-O.; Bacac, M.; Baciu-Drăgan, M.-A.; Baumhoer, D.; Beck-Schimmer, B.; Beerenwinkel, N.; Beisel, C.; Bernasconi, L.; Bertolini, A.; Bodenmiller, B.; Bonilla, X.; Bosshard, L.; Calgua, B.; Casanova, R.; Chevrier, S.; Chicherova, N.; Coelho, R.; D'Costa, M.; Danenberg, E.; Davidson, N.R.; Dummer, R.; Engler, S.; Erkens, M.; Eschbach, K.; Esposito, C.; Fedier, A.; Ferreira, P.F.; Ficek-Pascual, J.; Frei, A.L.; Frey, B.; Goetze, S.; Grob, L.; Gut, G.; Günther, D.; Haeuptle, P.; Heinzelmann-Schwarz, V.; Herter, S.; Holtackers, R.; Huesser, T.; Immer, A.; Irmisch, A.; Jacob, F.; Jacobs, A.; Jaeger, T.M.; James, A.R.; Jermann, P.M.; Kahles, A.; Kahraman, A.; Kuebler, W.; Kuipers, J.; Kunze, C.P.; Kurzeder, C.; Lehmann, K.-V.; Levesque, M.; Lischetti, U.; Lombardo, F.C.; Lugert, S.; Maass, G.; Manz, M.G.; Markolin, P.; Mehnert, M.; Mena, J.; Metzler, J.M.; Miglino, N.; Milani, E.S.; Moch, H.; Muenst, S.; Murri, R.; Ng, C.K.Y.; Nicolet, S.; Nowak, M.; Lopéz, M.N.; Pedrioli, P.G.A.; Pelkmans, L.; Piscuoglio, S.; Prummer, M.; Prélot, L.; Rimmer, N.; Ritter, M.; Rommel, C.; Rosano-González, M.L.; Rätsch, G.; Santacroce, N.; Sarabia del Castillo, J.; Schlenker, R.; Schwalie, P.C.; Schwan, S.; Schär, T.; Senti, G.; Shao, W.; Singer, F.; Sivapatham, S.; Snijder, B.; Sobottka, B.; Sreedharan, V.T.; Stark, S.; Stekhoven, D.J.; Tanna, T.; Theocharides, A.P.A.; Thomas, T.M.; Tolnay, M.; Tosevski, V.; Toussaint, N.C.; Tuncel, M.A.; Tusup, M.; Van Drogen, A.; Vetter, M.; Vlajnic, T.; Weber, S.; Weber, W.P.; Wegmann, R.; Weller, M.; Wendt, F.; Wey, N.; Wildschut, M.H.E.; Wollscheid, B.; Yu, S.; Ziegler, J.; Zimmermann, M.; Zoche, M.; Zuend, G.; Rüschoff, J.H.","Formalin-fixed, paraffin-embedded (FFPE) tumor tissue is the standard in pathology due to logistical and quality constraints of fresh-frozen samples. Although whole-genome sequencing (WGS) offers diagnostic promise, its validity and utility in FFPE samples remain underexplored. This study bridges the gap by comparing FFPE-derived tumor WGS with next-generation sequencing results from FoundationOneCDx (F1CDx) and a melanoma-specific panel (MelArray) in 78 metastatic melanoma samples from the Swiss Tumor Profiler Study. A diagnostic pipeline was developed for quality control, variant annotation, and clinical actionability using public and commercial databases. FFPE-derived WGS displayed robust analytical validity, detecting 95% of somatic single nucleotide variants, 98% of multinucleotide variants, 90% of insertions/deletions, 76% of amplifications, and 96% of homozygous deletions identified by F1CDx. Tumor mutational burden strongly correlated with F1CDx (R = 0.98), particularly at the clinical threshold of ≥10 mutations per megabase, crucial for treatment decisions. WGS detected complex biomarkers such as UV-associated mutational signatures and genome-wide copy number alterations, aiding melanoma subtype distinction. Clinically, WGS suggested treatments or trials for all cases, identifying additional markers in 38% and 71% compared with F1CDx and MelArray, respectively. Novel therapeutic opportunities were found in 18% and 56% of cases. FFPE-derived WGS closely matches targeted panels in performance while providing comprehensive insights, enhancing therapeutic options. With decreasing costs, WGS could become a powerful routine diagnostic tool. © 2025 Association for Molecular Pathology and American Society for Investigative Pathology",2025,,J. Mol. Diagn.,27,8,722-735,,10.1016/j.jmoldx.2025.04.011,,#3433,Litchfield 2025,"",""
"25th Congress of the Portuguese Statistical Society, SPE 2021","",The proceedings contain 24 papers. The special focus in this conference is on Portuguese Statistical Society. The topics include: Geostatistical Sampling Designs Under Preferential Sampling for Black Scabbardfish; modeling Residential Adoption of Solar Photovoltaic Systems; Comparison of Semiparametric Approaches to Two-Way ANOVA in the Presence of Heteroscedasticity; some Determinants for Road Accidents Severity in the District of Setúbal; Impact of Misclassification and Imperfect Serological Tests in Association Analyses of ME/CFS Applied to COVID-19 Data; identification of Antibody Responses Predictive of Protection Against Clinical Malaria; statistical Challenges in Mutational Signature Analyses of Cancer Sequencing Data; PCR Duplicate Proportion Estimation and Consequences for DNA Copy Number Calculations; a Retrospective Study on Obstructive Sleep Apnea; a Robust Hurdle Poisson Model in the Estimation of the Extremal Index; censored Multivariate Linear Regression Model; A Methodology to Reveal Terrain Effects from Wind Farm SCADA Data Using a Wind Signature Concept; A Robust Version of the FGLS Estimator for Panel Data; the Extended Chen–Poisson Marginal Rate Model for Recurrent Gap Time Data; on Classical Measurement Error within a Bayesian Nonparametric Framework; computational Study of the Adaptive Estimation of the Extreme Value Index with Probability Weighted Moments; estimation of the Weibull Tail Coefficient Through the Power Mean-of-Order-p; On the Maximum of a Bivariate Max-INAR(1) Process; the Performance of a Combined Distance Between Time Series; zero-Distorted Generalized Geometric Distribution with Application to Time Series of Counts; uncovering Abnormal Water Consumption Patterns for Sustainability’s Sake: A Statistical Approach; modeling and Forecasting Wind Energy Production by Stochastic Differential Equations.,2022,,Springer Proc. Math. Stat.,398,,,,,,#3658,,"",""
LACE: Inference of cancer evolution models from longitudinal single-cell sequencing data,"Ramazzotti, D.; Angaroni, F.; Maspero, D.; Ascolani, G.; Castiglioni, I.; Piazza, R.; Antoniotti, M.; Graudenzi, A.","The rise of longitudinal single-cell sequencing experiments on patient-derived cell cultures, xenografts and organoids is opening new opportunities to track cancer evolution, assess the efficacy of therapies and identify resistant subclones. We introduce LACE, the first algorithmic framework that processes single-cell mutational profiles from samples collected at different time points to reconstruct longitudinal models of cancer evolution. The approach maximizes a weighted likelihood function computed on longitudinal data points to solve a Boolean matrix factorization problem, via Markov chain Monte Carlo sampling. On simulations, LACE outperforms state-of-the-art methods for both bulk and single-cell sequencing data with respect to the reconstruction of the ground-truth clonal phylogeny and dynamics, also in conditions of unbalanced datasets, significant rates of sequencing errors and sampling limitations. As the results are robust with respect to data-specific errors, LACE is effective with mutational profiles generated by calling variants from (full-length) scRNA-seq data, and this allows one to investigate the relation between genomic and phenotypic evolution of tumors at the single-cell level. Here, we apply LACE to a longitudinal scRNA-seq dataset of patient-derived xenografts of BRAFV600E/K mutant melanomas, dissecting the impact of BRAF/MEK-inhibition on clonal evolution, also in terms of clone-specific gene expression dynamics. Furthermore, the analysis of breast cancer PDXs from longitudinal targeted scDNA-sequencing experiments delivers a high-resolution temporal characterization of intra-tumor heterogeneity. © 2021 Elsevier B.V.",2022,,J. Comput. Sci.,58,,,,10.1016/j.jocs.2021.101523,,#3779,Ramazzotti 2022,"",""
Profiling of the Prognostic Role of Extracellular Matrix-Related Genes in Neuroblastoma Using Databases and Integrated Bioinformatics,"Jahangiri, L.","A complex interaction occurs between cancer cells and the extracellular matrix (ECM) in the tumour microenvironment (TME). In this study, the expressions and mutational profiles of 964 ECM-related genes and their correlations with patient overall survival (OS) in neuroblastoma, an aggressive paediatric malignancy, were investigated using cBioPortal and PCAT databases. Furthermore, extended networks comprising protein-protein, protein-long non-coding RNA (lncRNA), and protein-miRNA of 12 selected ECM-related genes were established. The higher expressions of 12 ECM-related genes, AMBN, COLQ, ELFN1, HAS3, HSPE1, LMAN1, LRP5, MUC6, RAMP2, RUVBL2, SSBP1 and UMOD in neuroblastoma patients displayed a significant correlation with patient OS, while similar associations with neuroblastoma patient risk groups, histology and MYCN amplification were obtained. Furthermore, extended gene networks formed by these 12 ECM-related genes were established using Cytoscape, STRING, MSigDB/BioGRID, GeneMANIA and Omicsnet. Finally, the implications of the 12 ECM-related genes in other cancers were revealed using GEPIA2 and the Human Pathology Atlas databases. This meta-analysis showed the significance of these 12 ECM-related genes as putative prognostic predictors in neuroblastoma and other cancers. © 2022 by the author.",2022,,Onco,2,2,85-112,,10.3390/onco2020007,,#3839,Jahangiri 2022,"",""
Exploring the Solution Space of Cancer Evolution Inference Frameworks for Single-Cell Sequencing Data,"Maspero, D.; Angaroni, F.; Patruno, L.; Ramazzotti, D.; Posada, D.; Graudenzi, A.","In recent years, many algorithmic strategies have been developed to exploit single-cell mutational profiles generated via sequencing experiments of cancer samples and return reliable models of cancer evolution. Here, we introduce the COB-tree algorithm, which summarizes the solutions explored by state-of-the-art methods for clonal tree inference, to return a unique consensus optimum branching tree. The method proves to be highly effective in detecting pairwise temporal relations between genomic events, as demonstrated by extensive tests on simulated datasets. We also provide a new method to visualize and quantitatively inspect the solution space of the inference methods, via Principal Coordinate Analysis. Finally, the application of our method to a single-cell dataset of patient-derived melanoma xenografts shows significant differences between the COB-tree solution and the maximum likelihood ones. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2023,,Commun. Comput. Info. Sci.,1780 CCIS,,70-81,,10.1007/978-3-031-31183-3_6,,#3840,Maspero 2023,"",""
